hyp	tgt
"Und dann sagen meine Freunde, die kleine, unabhängige Filme machen, ""Nun, wie sollen wir mit diesen riesigen , gigantischen Hollywoodfilmen konkurrieren?"" Und der Film heißt ""Der größte Film, der je verkauft wurde."" Und jetzt, wie genau werden wir Ban im Film sehen?"	"Und dann sagen meine Freunde, die kleine Independent-Filme machen, „Nun, wie sollen wir mit diesen großen, gigantischen Hollywood-Filmen konkurrieren?“ Und der Film heißt ""The Greatest Movie Ever Sold."" Wie genau werden wir also Ban in dem Film sehen?"
Jedes Mal, wenn ich bereit bin zu gehen, jedes Mal, wenn ich meinen Arzneischrank öffne, werden Sie Band-Aid-Duft sehen.	"Immer, wenn ich mich auf den Weg mache, und immer, wenn ich den Medizinschrank öffne, werden Sie Ban Deodorant sehen."
Nun, jedes Mal, wenn ich ein Interview mit jemandem mache, könnte ich fragen: Sind Sie frisch genug für dieses Interview? Sind Sie bereit? Sehen Sie nervös aus?	"Und jedes Mal, wenn ich jemanden interviewe, kann ich sagen: „Sind sie frisch genug für dieses Interview? Sind Sie soweit? Sie sehen ein wenig nervös aus."
Wollen Sie mir helfen, mich zu beruhigen?	"Ich möchte Ihnen helfen, sich zu beruhigen."
Also sollte man vielleicht ein paar für das Interview anbringen. Wir bieten einen dieser fabelhaften Sätze an.	Vielleicht sollten Sie also vor dem Interview ein wenig hiervon auflegen. “Und dann bieten wir einen dieser großartigen Düfte an.
Ob es nun eine Blütenfusion ist oder Paradieswinde, sie werden ihre Chance haben.	"Entweder „Floral Fusion“ oder einen „Paradise Winds“, sie werden die Wahl haben."
Wir werden sie sowohl für männliche als auch für weibliche Spieler einrichten.	"Wir werden sowohl für Männer als auch für Frauen ausgerüstet sein -- fest, Roll-on, oder einen Stick, was auch immer."
Das ist der Zwei-Cent-Tour.	Das ist die Kurzfassung.
Jetzt kann ich Ihre Fragen beantworten und Ihnen den 5-Cent-Tour geben.	Nun kann ich alle ihre Fragen beantworten und Ihnen eine ausfühliche Fassung geben.
Wir sind ein kleineres Gehirn.	Karen Frank: Wir sind eine kleinere Marke.
Wissen Sie, wie Sie gesagt haben, ein kleinerer Film, oder eine sehr herausfordernde Marke?	"So wie Sie über die kleineren Filme gesprochen haben, sind wir als Marke ein Herausforderer."
Wir haben nicht die Budgets, die andere Gehirne haben.	Wir haben also nicht so ein Budget wie andere Marken.
Dinge wie diese, die Menschen an BAN erinnern, ist der Grund, warum wir daran interessiert sind.	"Solche Sachen also zu machen -- wissen Sie, erinnert Leute an Ban -- das ist irgendwie, warum wir interessiert sind."
"Die Wörter, die Sie benutzen würden, um ""Band"" zu beschreiben, ""Band"" ist ""leer""."	MS: Mit welchen Worten würden Sie Ban beschreiben? Ban ist blank.
Ich spreche von kühn, ja, frisch.	"Mann: Wir sprechen von kühn, frisch."
"Ich denke, ""frisch"" ist ein großartiges Wort, das diese Kategorie wirklich in die positive Richtung dreht, und den Geruch und die Feuchtigkeit bekämpft. Richtig? Es hält Sie frisch. Frisch."	"Ich denke, „frisch“ ist ein super Wort, dass diese Kategorie wirklich zu etwas Positivem macht, im Gegensatz zu „bekämpft Geruch und Feuchtigkeit.“ Es hält dich frisch."
Und wir halten sie länger frisch, bessere Frische, mehr Frische, dreimal frischer.	"Wie können wir Sie länger frisch halten -- bessere Frische, mehr Frische, dreimal frischer."
Dinge wie diese, die mehr von diesem positiven Nutzen haben.	Solche Sachen haben eine positivere Wirkung.
Und das ist ein millionenschweres Unternehmen. Was ist mit mir? Was ist mit einem normalen Kerl?	MS: Und das ist ein Millionen-Konzern. Was ist mit mir? Was ist mit dem Druchschittstypen?
"Ich muss mit den Leuten auf der Straße sprechen. ""Die Leute, die wie ich sind, die normalen Joes."	"Ich muss mit dem Mann auf der Straße sprechen, die so sind wie ich, Otto-Normal-Verbraucher."
Sie müssen mir etwas über meine Marke erzählen.	Sie sollen mir etwas über meine Marke erzählen.
Wie würden Sie Ihre Marke beschreiben?	(Video) MS: Wie würdet ihr eure Marke beschreiben?
Meine Marke? Ich weiß nicht. Ich mag schöne Kleidung.	"Mann: Hmmm, meine Marke? Ich weiß nicht. Ich mag wirklich gern schöne Kleidung."
80er-Jahre-Rock 'n' Roll trifft auf Skater-Punk, außer es ist Wäschetag.	"Frau: 80er Revival trifft auf Skaterpunk, außer am Waschtag."
Was ist Brand Jerry?	"MS: Nun gut, was ist die Marke Gerry?"
Einzigartig, einzigartig.	Gerry: Einzigartig. (MS: Einzigartig.)
Ich nehme an, dass mein Stil eine Art dunkler Glamour ist.	"Mann: Ich denke, das Genre, der Stil, den ich habe, ist wohl „dark glamour“."
Ich mag viele schwarze Farben, viele Grautöne und so weiter.	"Ich mag viele schwarze Farben, viele Grautöne und so ein Zeug."
Aber normalerweise trage ich Accessoires wie Sonnenbrillen oder ich mag Kristall und solche Dinge auch.	"Aber normalerweise habe ich ein Accessoire, wie Sonnenbrillen, oder ein Schmuck und so ein Zeugs."
Als ich wusste, dass ich hierher kommen würde, um einen TEDTalk zu halten, beschloss ich, die Welt der Marken und Sponsoring etwas anders zu betrachten.	"Als ich also wusste, dass ich hierher kommen würde, um in einem TEDTalk die Welt von Branding und Sponsoring zu betrachten, wusste ich, dass ich etwas ein wenig anderes machen würde."
Er könnte ein klassischer, konvertibler Messerschmied sein.	"Frau: Wenn Dan eine Marke wäre, wäre er wahrscheinlich ein klassisches Mercedes Cabrio."
Es ist die Marke, die ich bin. (Lachen) Ich würde sie beiläufig nennen.	"Mann 2: Die Marke, die ich bin, ist, würde ich sagen, lässige Fliege."
Teil Hippie, Teil Yogi, Teil Brooklyn-Mädchen. Ich weiß es nicht.	"Frau 2: Teils Hippie, teils Yogi, teils Brooklyn-Mädchen -- Ich weiß nicht."
Ich bin der Typ mit dem Pickel.	Mann 3: Ich bin der Schmusetyp.
Ich verkaufe Spielzeuge im ganzen Land, auf der ganzen Welt.	"Ich verkaufe Schmusetiere im ganzen Land, weltweit."
Das ist wohl meine Marke.	"Ich denke also, dass das meine Marke ist."
Meine kleine Industrie, das ist meine Marke.	"Das ist meine Marke in meiner kleinen, verzerrten Industrie."
Meine Marke ist FedEx, weil ich die Güter liefert.	"Mann 4: Meine Marke ist FedEx, weil ich Waren ausliefere."
Verschleierte Autorin, Alkoholikerin, ist das etwas?	Mann 5: Marke gescheiteter alkoholsüchtiger Schreiberling. Geht das?
Eine Anwaltsfirma. Ich bin Tom.	Tom: Ich bin Tom.
Nun, wir können nicht alle Brand Tom sein, aber ich finde mich oft an Kreuzungspunkten von dunkler Glamour und bequemen Fliegen.	"MS: Nun, wir können nicht alle die Tom-Marke sein, aber ich sehe mich oft an der Schnittstelle von dark glamour und lässiger Fliege."
Mir wurde klar, dass ich einen Experten brauchte.	"Und was ist bemerkte, war, dass ich einen Experten brauchte."
Ich brauche jemanden, der in meinen Kopf kommen kann, jemand, der mir wirklich helfen kann, zu verstehen, was man die Marke-Persönlichkeit nennt, und so fand ich eine Firma namens Olson Zaltman in Pittsburgh.	"Ich brauchte jemanden, der in meinen Kopf eindringen könnte, jemand, der mir wirklich helfen könnte zu verstehen, was man die „Markenpersönlichkeit“ nennt. Und so fand ich eine Firma namens Olson Zaltman in Pittsburg."
Sie haben Firmen wie Nestlé, Frito-Lay, Hallmark geholfen, diese Marke Persönlichkeit zu entdecken.	"Sie haben Firmen wie Nestle, Febreze, Hallmark geholfen, diese Markenpersönlichkeit zu entdecken."
"Sie könnten es für mich tun. """	"Wenn sie es für die tun konnten, konnten sie mir bestimmt auch helfen."
Sie schreiben Ihre eigenen Bilder, richtig?	"(Video) Abigail: Sie haben Ihre Bilder mitgebracht, ja?"
Das erste Bild ist ein Bild von meiner Familie.	MS: Das habe ich. Das erste Bild ist ein Bild meiner Familie.
Erzählen Sie mir ein bisschen, wie es zu Ihren Gedanken und Gefühlen über ihn passt.	"A: Erzählen Sie mir einfach ein wenig, wie das mit Ihren Gedanken und Gefühlen über Sie selbst verbunden ist."
Einige von Ihnen haben es vielleicht gehört, vor ein paar Wochen habe ich eine Anzeige auf eBay gepostet.	"Einige von Ihnen haben vielleicht davon gehört, dass ich vor ein paar Wochen eine Anzeige bei Ebay geschaltet habe."
Menschen, die die Art und Weise geprägt haben, wie ich die Welt sehe.	"MS: Dies sind die Menschen, die meine Weltsicht formen."
Erzählen Sie mir von dieser Welt.	A: Erzählen Sie mir von dieser Welt.
Es ist die Welt, in der Sie leben, die Leute um Sie herum, Ihre Freunde, Ihre Familie, die Art, wie Sie Ihr Leben leben, Ihr Job.	"MD: Diese Welt? Ich denke, die eigene Welt ist die Welt, in der man lebt -- wie Menschen um einen herum, die Freunde, die Familie, die Art, wie man sein Leben lebt, die Arbeit und so."
All diese Dinge begannen an einem Ort, und für mich begannen sie mit meiner Familie in West Virginia.	"All diese Dinge stammen und beginnen von einem Ort, und für mich stammen und beginnen sie mit meiner Familie in West Virginia."
"Das nächste: ""Das war der beste Tag meines Lebens."	MS: Das nächste. Dies war der schönste Tag meines Lebens.
Wie hängt das mit unseren Gedanken und Gefühlen zusammen?	A: In welchem Zusammenhang steht das zu den Gedanken und Gefühlen über Sie selbst?
Wer will ich sein?	"MS: Es ist so, wie ich gerne sein möchte."
Dinge, die anders sind.	"Ich mag Dinge, die anders sind."
Dinge, die komisch sind.	"Ich mag Dinge, die sonderbar sind."
Ich mag komische Dinge.	Ich mag sonderbare Dinge.
Erzählen Sie mir von der Y-Phase. Was bringt uns das?	A: Erzählen Sie mir über die „Warum“ -Phase -- Was bringt sie uns?
Was ist die Maschine?	Was ist die Machete?
In welchem Stadium bist du jetzt?	In welchem Puppenstadium befinden Sie sich derzeit?
Was ist die rote Replik?	Was repräsentiert das Rot?
Ich werde ein bisschen darüber sprechen, dass es nicht so ist, als wären Sie nicht da.	Erzählen Sie mir ein wenig über diesen Teil.
Wo sind einige andere Metamorphosen?	Welche weiteren Metamorphosen haben Sie durchlaufen?
Vielen Dank.	... Das muss keine Angst sein.
♫ Wenn ich sage, dass ich liebe ♫ ♫ Wenn ich sage, dass ich liebe ♫ ♫ Wenn ich sage, dass ich liebe ♫ ♫ Wenn ich sage, dass ich liebe ♫ ♫ Wenn ich sage, dass ich liebe ♫	"MS: EEEEEE! (A: Danke Ihnen.) Nein, danke Ihnen!"
Für Ihren Patienten, großartige Arbeit.	A: Vielen Dank für Ihre Geduld. (MS: Super Arbeit.)
Ja, genau.	A: Ja. (MS: Vielen Dank.). Nun gut.
Ja. Ich weiß nicht, was daraus werden wird.	"MS: Ja, ich weiß nicht, was sich daraus ergeben wird."
Da passierte eine Menge Verrücktes.	Da gingen ganz schön viele verrückte Dinge vor sich.
Als erstes sahen wir diese Idee, dass man zwei verschiedene, aber ergänzende Seiten seiner Marke-Persönlichkeit hat. Die Marke Morgan Spurlock ist eine sorgfältige Spiel-Marke.	"Lindsay Zaltman: Das erste, was ich sah, war diese Idee, dass Ihre Markenpersönlichekti zwei getrennte, aber sich ergänzende Seiten hat -- die Morgan Spurlock-Marke ist eine achtsame / verspielte Marke."
Ich schickte ein paar Facebook-Nachrichten, ein paar Twitter-Nachrichten, und ich gab den Leuten die Möglichkeit, die Namensrechte für meine 2011 TEDTalk zu kaufen. (Gelächter) Richtig, ein paar glückliche Individuen, eine Firma, gemeinnütziger oder gewinnorientierter, würden die einmalige Gelegenheit bekommen, denn ich bin mir sicher, Chris Anderson wird das nie wieder zulassen. (Gelächter) Die Namensrechte für den Vortrag zu kaufen, den Sie gerade sehen, der zu der Zeit keinen Titel hatte, nicht wirklich viel Inhalt hatte und nicht wirklich viel Hinweise darauf gab, worüber der Vortrag eigentlich gehen sollte.	"Ich verschickte ein paar Facebook-Nachrichten, einige Twitter-Nachrichten, und ich gab Leuten die Möglichkeit, die Namensrechte an meinem TEDTalk 2011 zu erstehen. (Lachen) Wirklich, einige glückliche Personen und Firmen, For-profit und Non-profit, erhielten die einmalige Gelegenheit -- denn ich bin mir sicher, dass Chris Anderson das nie wieder zulassen wird -- (Lachen) die Namensrechte an dem Talk zu kaufen, den Sie gerade sehen, der zu dem Zeitpunkt weder einen Titel hatte noch viel Inhalt und nicht viele Hinweise darauf gab, was das Thema eigentlich sein würde."
Das sind irgendwie aufeinander gestellte Tricks.	Die ergänzen sich sehr gut.
Ich denke, es gibt fast ein Paradoxon dabei.	"Und ich denke, es gibt fast einen Widerspruch damit."
Und ich glaube, einige Unternehmen werden sich auf eine ihrer Stärken konzentrieren, oder auf die andere, anstatt sich auf beide zu konzentrieren.	"Und ich denke, einige Firmen werden sich nur auf eine Stärke konzentrieren, anstatt auf beide."
Die meisten Unternehmen neigen dazu -- das ist die menschliche Natur -- Dinge zu vermeiden, von denen sie sich nicht sicher sind, Angst zu vermeiden, diese Elemente, und Sie nehmen sie wirklich an und verwandeln sie in etwas Positives, und das ist schön zu sehen.	"Viele Firmen neigen dazu -- und das ist die menschliche Natur -- Sachen zu vermeiden, bei denen Sie sich nicht sicher sind, sie werden Angst vermeiden, diese Elemente, und dass Sie diese willkommen heißen, und Sie verwandeln sie für sich selbst tatsächlich in etwas Positives, und das ist ein geschickter Schachzug."
Welche anderen Marken sind so?	Welche anderen Marken handeln so?
Der erste hier ist ein klassischer Apfel.	"Die erste ist ein Klassiker, Apple."
Und Sie können hier auch sehen, Target, We, Mini, von den Mini Cooper und Jet Blue.	"Und Sie können es hier auch sehen, Target, Wii, Mini von Mini Coopers und JetBlue."
Dann gibt es spielerische Marken und achtsinnige Marken, solche Dinge, die gekommen und gegangen sind, aber eine spielerische achtsinnige Marke ist eine ziemlich mächtige Sache.	"Nun, es gibt verspielte Marken und achtsame Marken, diese Sachen, die kommen und gehen, aber eine verspielte, achtsame Marke ist eine ziemlich starke Sache."
Eine spielerische Mythologie.	"MS: Eine achtsame, verspielte Marke."
Was ist Ihre Marke?	Wie ist Ihre Marke?
Jemand hat Sie gebeten, Ihre Markenidentität zu beschreiben.	"Wenn jemand Sie bitten würde, Ihre Markenidentität zu beschreiben, Ihre Markenpersönlichkeit, wie wäre sie?"
Sind Sie ein optimistischer Mensch?	Sie Sie ein Up-Attribut?
Sind Sie etwas, das das Blut in Bewegung setzt?	"Sind Sie etwas, dass das Blut in Wallungen bringt?"
Sind Sie eher ein Verlierer?	Oder sind Sie eher ein Down-Attribut?
Etwas Ruhigeres, Reservierteres, Konservativeres.	"Sind Sie etwas, das ein wenig ruhiger, reservierter, konservativer ist?"
Eigenschaften sind Dinge wie spielerisch sein, frisch sein, wie die frischen Drucke, zeitgemäß, abenteuerlich, risikofreudig, wie Aroldo Flini, wendig oder agil, profan, dominierend, magisch oder mystisch, wie Gandalf.	"Up-Attribute sind Dinge, die verspielt sind, frisch wie der Fresh Prince, zeitgemäß, abenteuerlich, ausgefallen und lieblich wie Erol Flynn, wendig und agil, profan, herrisch, magisch und mystisch wie Gandalf."
Oder sind Sie eher eine positive Person?	Oder sind Sie eher wie ein Down-Attribut?
Sie sind vorsichtig, ausgeklügelt wie 107.	Sind Sie achtsam und mondän wie 007?
Man etabliert traditionelle, nährende, schützende, empathische, wie die Oper.	"Sind Sie etabliert, traditionell, pflegend, beschützend, mitfühlend wie Oprah?"
Sie sind verlässlich, stabil, vertrauenswürdig, sicher, heilig, kontemplativ oder weise, wie der Dalai Lama oder Yoda.	"Sind Sie verlässlich, stabil, familiär, sicher, geborgen, heilig, bedacht und weise wie der Dalai Lama oder Yoda?"
Im Laufe dieses Films hatten wir über 500 Firmen, die Up and Down Company, die sagten, nein, sie wollten keinen Teil dieses Projekts.	"Im Laufe des Films hatten wir mehr als 500 Firmen, die Up und Down-Firmen waren und die „Nein“ sagten, weil sie nicht Teil des Projekts sein wollten."
Sie wollten nichts mit diesem Film zu tun haben, hauptsächlich weil sie keine Kontrolle hätten, sie hätten keine Kontrolle über das endgültige Produkt.	"Sie wollten vor allem nichts mit diesem Film zu tun haben, weil Sie keine Kontrolle hatten, keine Kontrolle über das fertige Produkt."
Aber wir bekamen 17 Markenpartner, die bereit waren, diese Kontrolle aufzugeben, die mit jemandem zusammen sein wollten, der so achtsam und spielerisch ist wie ich. (Gelächter) Und die uns letztendlich ermöglichten, Geschichten zu erzählen, die wir normalerweise nicht erzählen könnten, Geschichten, die wir normalerweise nie erzählen würden.	"Aber wird fanden 17 Markenpartner, die bereit waren, auf diese Kontrolle zu verzichten, die mit jemandem Geschäfte machen wollten so achtsam und verspielt wie ich, und die uns schließlich dazu befähigten, Geschichten zu erzählen, die wir normalerweise nicht hätten erzählen können -- Geschichten, die ein Werber normalerweise nie unterstützen würde."
Sie haben uns ermöglicht, die Geschichte über Neuromarketing zu erzählen, als wir anfingen, die Geschichte in diesem Film darüber zu erzählen, wie sie jetzt MRIs nutzen, um die Wunschzentren Ihres Gehirns anzusprechen, sowohl für Werbung als auch für Film-Marketing.	"Sie befähigten uns, die Geschichte vom Neuromarketing zu erzählen, so wie wir die Geschichte in diesem Film erzählen, dass man heutzutage MRIs benutzt, um die Lustzentren des Hirns anzupeilen, sowohl um Werbung als auch Filme zu machen."
Ich ging nach São Paulo, wo sie die Außenwerbung verboten haben.	"Wir fuhren nach Sao Paulo, wo Außenwerbung verboten worden ist."
In der ganzen Stadt gibt es in den letzten fünf Jahren keine Plakate, keine Poster, keine Flugblätter, nichts.	"In der gesamten Stadt findet sich seit fünf Jahren keine Anzeigentafel, kein Poster, keine Flyer, nichts. (Applaus) Und wir fuhren in Schulbezirke, in denen Firmen sich ihren Weg bahnen in verarmte Schulen, in ganz Amerika."
Was für mich unglaublich ist, sind die Projekte, für die ich am meisten Feedback bekommen habe, die am meisten Erfolg hatten oder für die ich direkt mit Dingen interagiert habe.	"Das Unglaubliche für mich ist, dass die Projekte von denen ich das meiste Feedback bekam oder wo ich den größten Erfolg hatte, jene sind, wo ich mit Dingen direkt interagierte."
Und das ist es, was diese Marken gemacht haben. Sie haben den Mittelsmann ausgeschlossen, sie haben ihre Agenten ausgeschlossen und sagten, vielleicht haben diese Agenten nicht meine besten Interessen im Sinn.	"Und das ist, was diese Marken getan haben, denn sie umgingen den Mittelsmann, sie umgingen die Agenturen, und sagten, dass die Agenturen vielleicht nicht wirklich ihr Interesse im Sinn haben."
Ich werde direkt mit dem Künstler sprechen.	Ich werde mit dem Künstler direkt verhandeln.
Ich werde mit ihm etwas anderes erschaffen, etwas, das die Leute zum Nachdenken bringt, etwas, das unsere Sicht auf die Welt herausfordert.	"Ich werde mit ihm arbeiten und etwas vollkommen anderes schaffen, etwas, dass die Leute zum Nachdenken bringt, dass unser Weltbild herausfordert."
Und wie war das für sie? War es erfolgreich? Nun, seit der Premiere des Films auf dem Sundance Film Festival, lassen Sie uns einen Blick darauf werfen.	"Und wie war das für sie? Was es erfolgreich? Nun, da der Film beim Sundance Film Festival Premiere hatte, können wir uns das mal anschauen."
Ich habe mich seinem Bruder und seinem Vater verpflichtet, genau hier und jetzt, ich sagte: „Okay, das ist der Deal: Tony wird sprechen, wir werden ihm eine Maschine geben, und wir werden einen Weg finden, damit er wieder seine Kunst machen kann.“	"Ich verpflichtete mich an Ort und Stelle gegenüber seinem Bruder und seinem Vater – mit den Worten: ""Gut, mein Vorschlag ist folgendermaßen: Tony wird sprechen, wir werden ihm einen Apparat besorgen und wir werden einen Weg finden, dass er wieder seine Kunst machen kann."
Denn es ist eine Tragödie, dass jemand, der das noch in sich trägt, es nicht kommunizieren kann.	"Denn es ist eine Farce, dass jemand, der all das noch in sich trägt, es nicht kommunizieren kann. """
Einige Monate später hielt ich eine Konferenz.	Ich sprach also einige Monate später bei einer Konferenz.
Ich traf diese Typen namens G.R.L., Graffiti Research Lab, und sie haben eine Technologie, die es ihnen erlaubt, Licht auf jede Oberfläche zu projizieren und dann mit einem Laserpointer darauf zu zeichnen und es registriert den negativen Raum.	"Ich traf diese Leute von GRL, Graffiti Research Lab und sie haben eine Technologie, die es ihnen erlaubt, ein Licht auf jede beliebige Oberfläche zu projizieren und dann mit einem Laserpointer darauf zu zeichnen, der nur die negative Fläche registriert."
Sie machen Kunstinstallationen wie diese.	Sie ziehen also umher und machen Kunstinstallationen wie diese.
Sie sagten, es gibt einen Lebenszyklus.	"Sie sagen, dass alle Dinge, die dort oben angezeigt werden, einem Lebenszyklus folgen."
Es fängt mit den Geschlechtsorganen an, dann fängt es mit Schimpfwörtern an, dann mit Buschfleisch, Schmähungen, und dann kamen die Menschen zur Kunst.	"Es beginnt mit den Geschlechtsteilen, dann kommen die Schimpfwörter, danach die Bush-Verleumdungen und zuletzt machen die Leute tatsächlich Kunst."
Es gab immer einen Lebenszyklus für Präsentationen.	Aber es gab immer einen Lebenszyklus in ihren Präsentationen.
Also ging ich nach Hause und aß mit meiner Frau zu Abend und erzählte ihr davon, und wir dachten uns: Warten Sie, wenn wir wissen, dass diese Technologie existiert, wo man seine Augen benutzen kann, um Dinge zu kontrollieren, warum finden wir dann nicht einen Weg, damit Tempo einen Laser kontrollieren kann, und er könnte wieder Zeichnungen machen? Das wäre großartig.	"Ich ging also nach Hause und aß mit meiner Frau zu Abend und erzählte ihr von allem und wir dachten: ""Nun, Sekunde mal, wenn es doch diese Technologie gibt, mit der man seine Augen nutzen kann, um Dinge zu steuern, dann sollten wir einen Weg finden, dass TEMPT einen Laser steuern kann, so dass er wieder Graffiti machen kann, das wäre doch genial."""
Ich hatte das besondere Glück in meinem Leben, an einigen großartigen Projekten mitzuwirken.	Mein Leben ist wirklich außerordentlich gesegnet durch die Arbeit an einigen erstaunlichen Projekten.
So begann die Reise.	Das war der Beginn der Reise.
Und ungefähr zwei Jahre später, ungefähr ein Jahr später, nach einer Menge Organisation und Bewegung von Dingen, hatten wir ein paar Dinge erreicht.	"Und etwa zwei Jahre später, etwa ein Jahr später, nach eine Menge Organisation und viel Hin und Her von Dingen, haben wir einige Sachen erreicht."
Erstens haben wir die Türen der Versicherungskonzerne eingedrückt und wir haben tatsächlich eine Maschine gebaut, die ihn kommunizieren lässt, eine Stephen-Hawking-Maschine. (Applaus) Das war großartig.	"Erstens, wir haben den Versicherungen die Türen eingerannt, und haben tatsächlich für TEMPT einen Apparat bekommen, mit dem er kommunizieren kann – eine Stephen Hawking-Maschine. (Beifall) Das war unglaublich."
Und er ist wirklich einer der lustigsten -- Ich nenne ihn Yoda, weil man mit dem Typen spricht, man bekommt eine E-Mail von ihm und man denkt: „Ach, ich bin einfach nicht wert.“ Dieser Typ ist unglaublich.	"Und er ist wirklich extrem witzig – ich nenne ihn Yoda, denn man redet mit ihm, oder bekommt eine E-Mail, und denkt sich: ""Ich bin so unwürdig, dieser Kerl ist unglaublich."""
Die andere Sache, die wir machten, war, dass wir sieben Programmierer aus der ganzen Welt flogen, buchstäblich aus jeder Ecke der Welt, in unser Haus.	Außerdem haben wir sieben Programmierer aus der ganzen Welt eingeflogen – buchstäblich aus allen Ecken der Welt – zu uns nach Hause.
Das coolste Projekt, an dem ich je gearbeitet habe, war dieser Typ.	"Aber bei dem Coolsten, woran ich je gearbeitet habe, ging es um diesen Kerl."
Meine Frau und Kinder und ich zogen in die hintere Garage, und diese Hacker und Programmierer und Verschwörungstheoretiker und Anarchisten nahmen unser Haus ein.	"Meine Frau, meine Kinder und ich sind in die Garage gezogen, und diese Hacker und Programmierer und Verschwörungstheoretiker und Anarchisten haben unser Haus übernommen."
Viele unserer Freunde sagten uns, dass wir absolut dumm wären, das zu tun, und dass wir zurückkommen würden und alle Bilder an der Wand entfernt und Grafiken an die Wand gemalt werden würden.	"Viele unserer Freunde dachten, dass wir schön dumm seien, das zu tun und dass wir zurückkämen und alle Bilder an den Wänden wären Graffitis gewichen."
Aber über zwei Wochen lang programmierten wir, wir gingen zum Venice Boardwalk, meine Kinder machten mit, mein Hund machte mit, und wir schufen das hier.	"Aber für über zwei Wochen haben wir programmiert, wir gingen zum Strandpromenade in Venice, meine Kinder wurden einbezogen, mein Hund auch und wir schufen das hier."
"Das nennt sich ""Der Augen-Schreiber""."	Es nennt sich EyeWriter und man kann die Beschreibung sehen.
Das ist ein billiges Paar Sonnenbrillen, das wir am Strand von Venice Beach gekauft haben, ein paar Kupferdrähte und ein paar Sachen von Home Depot und Radio Shack.	"Das ist eine billige Sonnenbrille, die wir an der Strandpromenade von Venice gekauft haben, etwas Kupferdraht und ein paar Sachen aus dem Baumarkt und dem Elektronikhandel."
Wir nahmen eine PTZ-Kamera, öffneten sie, befestigten sie an eine LED-Leuchte und jetzt gibt es ein Gerät, das kostenlos ist. Man baut es selbst.	"Wir nahmen eine PS3-Kamera, haben sie auseinandergebaut, haben sie auf ein LED-Licht gesetzt und jetzt haben wir ein Gerät das frei zugänglich ist – man kann es selbst bauen, wir stellen den Code umsonst zur Verfügung, die Software kann man kostenlos herunterladen."
Sein Name ist Temp.	Sein Name ist TEMPT.
Jetzt haben wir ein Gerät entwickelt, das absolut keine Grenzen hat.	"Wir haben also ein Gerät erschaffen, das komplett frei von Beschränkungen ist."
Es gibt keine Versicherung, die nein sagen kann. Es gibt kein Krankenhaus, das nein sagen kann. Jeder, der jetzt querschnittsgelähmt ist, hat Zugang, um tatsächlich mit seinen Augen zu zeichnen und zu kommunizieren. (Applaus)	"Keine Versicherung kann sich querstellen, auch kein Krankenhaus. Jeder Gelähmte kann nun tatsächlich allein mit seinen Augen kommunizieren oder zeichnen."
Banksy war einer der führenden Graffiti-Künstler in den 80ern.	TEMPT war einer der führenden Graffitikünstler der 80er Jahre.
Vielen Dank. (Applaus) Vielen Dank. Das war großartig.	"Danke. Danke euch vielmals, das war unglaublich."
Am Ende der zwei Wochen gingen wir zurück in das Temporium.	Am Ende der zwei Wochen also gingen wir zurück in TEMPTs Zimmer.
Ich liebe dieses Bild, weil es jemand anderes Zimmer ist, und das ist sein Zimmer.	"Ich liebe dieses Bild, denn es ist das Zimmer von jemand anderem und das ist sein Zimmer."
Da herrscht ein großes Durcheinander für die große Enthüllung, und nach über einem Jahr der Planung, zwei Wochen der Programmierung, dem Carbfest und den ganzen Nacht-Sitzungen zeichnete Tony wieder zum ersten Mal seit sieben Jahren.	"Da ist nun all dieser Rummel vor der großen Enthüllung und nach über einem Jahr der Planung, zwei Wochen Programmierarbeit, Nudelparties und durchgemachten Nächten, zeichnete Tony zum ersten Mal wieder nach sieben Jahren."
"Und eines Tages kam er von einem Lauf nach Hause und sagte: ""Papa, meine Beine kribbeln."" Und das war der Beginn von ALS."	"Dann, eines Tages, kam er vom Laufen zurück und sagte ""Paps, meine Beine kribbeln."" Und das war der Ausbruch des ALS."
Und das ist ein erstaunliches Bild, denn das ist sein lebenserhaltendes System, und er schaut über sein lebenserhaltendes System.	"Und das ist ein beeindruckendes Bild, denn dies ist sein Lebenserhaltungssystem, und er sieht über sein Lebenserhaltungssystem hinaus."
Er hat sein Bett weggeschoben, damit er sehen konnte.	"Wir haben sein Bett geneigt, damit er nach draußen sehen kann."
Wir stellten einen Projektor auf eine Wand auf dem Parkplatz vor seinem Krankenhaus.	Wir haben einen Projektor aufgestellt gegen eine Wand des Parkplatztes vor dem Krankenhaus.
Und er zeichnete wieder, zum ersten Mal vor seiner Familie und Freunden, und man kann sich nur vorstellen, wie das Gefühl auf dem Parkplatz war.	"Und er zeichnete wieder zum ersten Mal, im Beisein seiner Familie und Freunde – und man kann sich nur vorstellen, was für ein Gefühl das auf dem Parkplatz war."
Das Lustige ist, dass wir auch auf dem Parkplatz eindringen mussten, also fühlten wir uns total legitimiert in der ganzen Grafik.	"Lustigerweise mussten wir auch noch in den Parkplatz einbrechen, wir fühlten uns also zurecht als ein Teil der Sprüher-Szene."
Am Ende schickte er uns eine E-Mail, in der stand: „Das war das erste Mal seit sieben Jahren, dass ich etwas gezeichnet habe.	"Am Ende sandte er uns eine E-Mail mit folgendem Inhalt: ""Zum ersten Mal seit sieben Jahren habe ich etwas gezeichnet."
