,src,hyp_bi,hyp_uni_waco,ref
81,I would like to talk to you about why many ehealth projects fail.,Me gustaría hablarles de por qué muchos proyectos E-of fallan.,Me gustaría hablarles de por qué muchos proyectos fallan.,Quisiera hablarles de por qué muchos proyectos de e-salud fracasan.
82,This is Stephen Watt.,Este es Stephen Wolfram.,Este es Stephen. ¿Qué?,Este es Stephen Watt.
83,"There's no doors or windows, but when you approach it, it will open up to let you in. (Music) The roof also is covered with water.","No hay puertas o ventanas, pero cuando uno se acerca, se abre para dejarlo entrar. (Música) El tejado está cubierto de agua.","No hay puertas ni ventanas, pero cuando se acerca, si se abre, te deja entrar. (Música) El techo está cubierto de agua.","No hay puertas ni ventanas, pero cuando uno se aproxima se abre para que uno pueda pasar. (Música) El techo también está cubierto de agua."
84,"You can have each pixel having an input that comes from people, from people's movement, or so and so.","Puedes tener cada pixel con una entrada que viene de la gente, del movimiento de la gente, o algo así.",No puedes tener un movimiento de gente que venga del movimiento de gente o de los hijos de gente.,"Podemos tener cada pixel con una entrada que viene de personas, del movimiento de las personas, etc., etc."
85,"Here was some lawyer or money manager who, for the rest of his life, gets to tell people that he went into a burning building to save a living creature, just because he beat me by five seconds.","Aquí estaba un abogado o un administrador de dinero que, por el resto de su vida, podría decirle a la gente que entró en un edificio en llamas para salvar a una criatura viva, solo porque me ganó cinco segundos.","Aquí estaba un abogado, un administrador de fondos, que por el resto de su vida no le dijo a nadie que entró en un edificio en llamas, deshabilitando a una criatura viva. (Risas) Solo porque me ganó por cinco segundos.","Ahí estaba un abogado o gestor de dinero que, durante el resto de su vida, tendría que decirle a la gente que entró en un edificio en llamas para salvar a un ser vivo sólo porque me ganó por 5 segundos."
86,Announcer Six: Societal decay.,La ciencia se deteriorará.,(Risas),Locutor 6: Decadencia social.
87,"Well, the next day we were in Cleveland.","Bueno, al día siguiente estábamos en Cleveland.","Bueno, al día siguiente estábamos en Cleveland.","Bien, al día siguiente estábamos en Cleveland."
88,So some intuition that you may have developed over the years is that one thing is only in one place at a time.,Alguna intuición que pueden haber desarrollado con los años es que una cosa sólo está en un lugar a la vez.,Algunas de las intersecciones que pueden haber desarrollado con los años es que una cosa está solo en un lugar a la vez.,Cierta intuición que pueden haber desarrollado con el paso de los años es la que dice que una cosa puede estar solo en un lugar a la vez.
89,"And if your employees can't tell them apart, neither can your consumers. ""","Y si sus empleados no pueden diferenciarlos, tampoco lo harán los clientes.","Y quiero otro, y si sus empleados no pueden diferenciarlos, tampoco yo.","Y si sus empleados no pueden diferenciar, tampoco lo podrán hacer sus clientes ""."
90,"Think about that, the fact that, literally, a group of students can touch the lives of a billion people today.","Piensen en eso, el hecho de que un grupo de estudiantes puede tocar la vida de mil millones de personas hoy.","Piensen en eso, el hecho de que un grupo de estudiantes pueda tocar la vida de mil millones de personas hoy.","Piensen en eso, el hecho de que un grupo de estudiantes hoy pueda impactar la vida de mil millones de personas."
91,And Gary said that he would be willing to offer people in this audience an all-expenses-paid free vacation to the most beautiful road in the world.,"Y Gary dijo que estaría dispuesto a ofrecer a la gente de esta audiencia, con todos los gastos pagados, vacaciones gratuitas en la carretera más hermosa del mundo.",Y Gary dijo que estaría dispuesto a ofrecer a la gente en esta audiencia una vacación gratuita y pagada en el camino más hermoso del mundo.,Él me dijo que estaría dispuesto a ofrecer a las personas de esta audiencia unas vacaciones con todo pagado a la carretera más bella del mundo.
92,"We all want to be stars — celebrities, singers, comedians — and when I was younger, that seemed so very, very hard to do.","Todos queremos ser estrellas, celebridades, cantantes, comediantes, y cuando era más joven, eso me parecía muy, muy difícil de lograr.","Todos queremos ser estrellas, celebridades, cantantes, comediantes, y cuando era más joven, eso parecía muy, muy difícil de lograr.","Todos queremos ser estrellas: celebridades, cantantes, comediantes... Cuando yo era más joven, eso parecía algo muy, muy difícil."
93,You can almost always look phenomenal for under $50.,Puedes casi siempre verse fenomenal con menos de 120.,Casi siempre puedes verse fenomenal con menos.,Casi siempre te puedes ver fenomenal por menos de 50 dólares.
94,(Applause),(Risas),,Creo que esa es la orientación que tiene que cambiar.
95,"And I remember, when I was about eight or nine years old, waking up one morning, going into the living room, and all of my cousins were running around.","Recuerdo que cuando tenía unos ocho o nueve años, una mañana, al entrar en la sala, todos mis primos corrían.","Y recuerdo que cuando tenía unos 8 o 9 años, desperté una mañana, fui a la sala de estar y todos mis primos corrían por ahí.","Recuerdo cuando tenía 8 ó 9 años, me desperté una mañana, me fui a la sala y ahí estaban corriendo todos mis primos."
96,The United States now has the highest rate of incarceration in the world.,Estados Unidos ahora tiene la tasa más alta de encarcelamiento en el mundo.,Estados Unidos tiene ahora la tasa más alta de encarcelamiento en el mundo.,En EEUU tenemos la mayor tasa de encarcelamiento del mundo.
97,"What about contributions we can't even predict? The one thing I've learned at the X Prize is that small teams driven by their passion with a clear focus can do extraordinary things, things that large corporations and governments could only do in the past.","Lo único que he aprendido en el X PRIZE es que los equipos pequeños, impulsados por su pasión, con un enfoque claro, pueden hacer cosas extraordinarias, cosas que las grandes corporaciones y los gobiernos solo podían hacer en el pasado.","Lo único que aprendí en el X PRIZE es que equipos pequeños impulsados por su pasión con un enfoque claro pueden hacer cosas extraordinarias, cosas que las grandes corporaciones y los gobiernos solo podían hacer en el pasado.","Algo que aprendí con el Premio X es que equipos pequeños, guiados por su pasión con un objetivo claro, pueden hacer cosas extraordinarias; cosas que antes sólo podían hacer las grandes corporaciones y los gobiernos."
98,"You can enter inside it. And a kind of new digital beacon for the night — but most importantly, a new type of experience for anybody who will go to the top.","Puedes entrar dentro de él, y una especie de nuevo altar digital para la noche, pero más importante, un nuevo tipo de experiencia para cualquiera que vaya a la cima.","Puedes entrar dentro de él, y un nuevo tipo de cabina digital, pero lo más importante, un nuevo tipo de experiencia para cualquiera que llegue a la cima.","Uno puede entrar ahí como si fuera un nuevo faro digital en la noche, pero lo más importante es que será una nueva experiencia para cualquiera que vaya a la cima."
99,"Henry, by virtue of being assumed to be male — although I haven't told you that he's the XY one — by virtue of being assumed to be male is now liable to be drafted, which Mary does not need to worry about.","Henry, por virtud de que se supone que es hombre, aunque no les he dicho que él es el X, Y o Z, por virtud de que se supone que es hombre, ahora puede ser reclutado, lo que Mary no tiene que preocuparse.","Henry, por ser supuestamente hombre, aunque les he dicho que él es el ex-XY, por ser supuestamente hombre, está ahora sujeto a ser reclutado, algo que Mary no tiene que preocuparse.","Henry, en virtud de ser considerado hombre -si bien no les he dicho si es XY-, en virtud de ser considerado hombre ahora es pasible del enrolamiento obligatorio del que Mary no tiene que preocuparse."
100,"And over the next two or three days, it was clear that she was never going to wake up.","Y en los siguientes dos o tres días, quedó claro que ella nunca iba a despertar.","Y en los siguientes dos o tres días, quedó claro que nunca iba a despertar.",Y en los dos o tres días siguientes era evidente que nunca despertaría.
101,"But in the end, it comes down to how we interpret the world and how it can be realized on a two-dimensional surface.","Pero al final, se reduce a cómo interpretamos el mundo y cómo se puede realizar en una superficie bidimensional.","Pero al final, se refiere a cómo interpretamos el mundo y cómo podemos entenderlo desde una superficie bidimensional.",Pero al final se trata de nuestra manera de interpretar el mundo y cómo se puede percibir en una superficie bidimensional.
102,"And my friends from Honduras asked me to say thank you, TED.","Y mis amigos de Honduras me pidieron que les dijera gracias, TED.","Mis amigos de Honduras me pidieron que les dijera gracias, TED.","Y mis amigos hondureños me pidieron que dijera: ""Gracias TED""."
103,The captain waved me over.,El capitán me miró.,El capitán me observaba.,El capitán me hizo un ademán.
104,One is South Korea.,Uno es Corea del Sur.,Uno es Corea del Sur.,Uno de ellos es Corea del Sur.
105,At the time I was assigned to the cardiology service on a cardiology rotation.,"En ese momento, yo era un cirujano cardiólogo.","En ese momento, me asignaron al servicio de cardiología.",En aquel momento me asignaron al servicio de cardiología.
106,"If we fix cities, actually it's a big deal.","Si lo arreglamos, en realidad es un gran problema.","Si lo arreglamos, es algo muy importante.",Acondicionar las ciudades es algo grande.
107,"And most people get that, but they think that one is the input to the other.","Y la mayoría lo entiende, pero piensan que uno es la entrada del otro.","Y la mayoría lo entiende, pero piensan que uno es la entrada del otro.","Mucha gente lo entiende, pero piensa que uno es la entrada del otro."
108,And so that's what we did.,Y eso es lo que hicimos.,Y así lo hicimos.,Y eso fue lo que hicimos.
109,"I mean, that was epic. In fact, I scoured the headlines looking for the best headline in a newspaper I could.","Quiero decir, eso fue épico.","Quiero decir, eso fue épico.","Digo, ¿cuántos vieron la victoria en Jeopardy de Watson, de IBM? Fue épica. Busqué en los periódicos el mejor titular que hubiera."
110,And that's it. Thank you.,Y eso es todo. Gracias.,Y eso es todo. Gracias.,Y eso es todo. Gracias.
111,We're sort of on this line in a transition from the way the world used to be to some new way that the world is.,"Estamos en esta línea, en una transición de la forma en que el mundo solía ser a una nueva forma en que el mundo es.",Estamos en una transición de la forma en que el mundo era a una nueva forma en que el mundo es.,"En esta línea estamos en una transición de lo que solía ser el mundo, a una nueva forma."
112,"You see, aluminum was the most valuable metal on the planet, worth more than gold and platinum.","El aluminio era el metal más valioso del planeta, valía más que el oro y el platino.","El aluminio era el metal más valioso del planeta, valía más que el oro y el platino.","Ya ven, el aluminio era el metal más valioso del planeta; valía más que el oro y el platino."
113,"But otherwise, you are a wonderful environment for those bacteria, just as they are essential to your life.","Pero de lo contrario, eres un ambiente maravilloso para esas bacterias, así como ellas son esenciales para tu vida.","Pero de lo contrario, eres un ambiente maravilloso para esas bacterias, que son esenciales para tu vida.","Pero, por lo demás, somos un entorno maravilloso para esas bacterias del mismo modo que ellas son esenciales para nuestra vida."
114,"Like most adults on the boat, my mother carried a small bottle of poison.","Como la mayoría de los adultos en el barco, mi madre llevaba una pequeña botella de veneno.","Como la mayoría de los adultos en el barco, mi madre llevaba una botella pequeña de veneno.","Como la mayoría de los adultos, my madre llevaba un frasquito con veneno."
115,(Applause),(Risas),,(Aplausos)
116,"In the entire city for the past five years, there's no billboards, there's no posters, there's no flyers, nothing. (Applause) And we went to school districts where now companies are making their way into cash-strapped schools all across America. What's incredible for me is the projects that I've gotten the most feedback out of, or I've had the most success in, are ones where I've interacted with things directly.","En toda la ciudad, durante los últimos 5 años, no hay anuncios, no hay carteles, no hay volantes, nada. (Aplausos) Y fuimos a los distritos escolares donde ahora las empresas están entrando a las escuelas cerradas en todo EE.UU. Lo que es increíble para mí es que los proyectos que he recibido más comentarios, que he tenido más éxito, son aquellos en los que he interactuado directamente con las cosas.","Y durante los últimos 5 años, no hay carteles, no hay carteles, no hay volantes, nada. (Aplausos) Y fuimos al distrito escolar, donde ahora las empresas están entrando a las escuelas de todo EE.UU. Lo que es increíble para mí son los proyectos que han recibido más comentarios, que han tenido más éxito, y son aquellos en los que he interactuado directamente con las cosas.","En toda la ciudad durante los últimos 5 años no hay vallas, no hay carteles, no hay volantes, nada. (Aplausos) Y fuimos a distritos escolares en los que las empresas están haciéndose camino en las escuelas con problemas de liquidez en EE.UU. Lo increíble para mí es que los proyectos en los cuales he tenido la mayor respuesta o en los que he tenido más éxito son aquellos en los que he interactuado con cosas directamente."
117,"I've come to understand the sentiments of George Burns, who was performing still in Las Vegas well into his 90s.","He llegado a entender los sentimientos de George Burns, que estaba actuando en Las Vegas hasta bien entrados los 90.","He llegado a entender los sentimientos de George Burns, que actuaba todavía en Las Vegas a los 90 años.","Llegué a comprender los sentimientos de George Burns, que aún actuaba en Las Vegas bien entrado en sus 90 años."
118,"That in order for people to understand the differences between the choices, they have to be able to understand the consequences associated with each choice, and that the consequences need to be felt in a vivid sort of way, in a very concrete way. Why do people spend an average of 15 to 30 percent more when they use an ATM card or a credit card as opposed to cash?","Que para que la gente pueda entender las diferencias entre las opciones, tienen que ser capaces de entender las consecuencias asociadas con cada opción, y que las consecuencias tienen que ser sentidas de una manera muy concreta, de una manera muy vívida. ¿Por qué la gente gasta un promedio de 15 a 30% más cuando usan una tarjeta de crédito o una tarjeta de débito que cuando usan efectivo?","Para que la gente entienda las diferencias entre las opciones, tienen que ser capaces de entender las consecuencias asociadas con cada opción, y que las consecuencias deben ser sentidas de manera abierta y muy concreta. ¿Por qué la gente gasta un promedio de 15 a 30% más cuando usan una tarjeta de débito que cuando usan una tarjeta de crédito?","Para que la gente entienda las diferencias entre opciones, tienen que comprender las consecuencias de cada opción, y que las consecuencias deben sentirse de manera muy vívida, muy concreta. ¿Por qué razón la gente gasta 15% a 30% más en promedio cuando usa tarjetas de débito o crédito, que cuando usa efectivo?"
119,And this game has been played by university professors and so forth.,Y este juego ha sido jugado por profesores universitarios y demás.,Y este juego ha sido jugado por profesores universitarios y demás.,"Han jugado con esto profesores universitarios, entre otros."
120,"We want to encourage a world of creators, of inventors, of contributors, because this world that we live in, this interactive world, is ours.","Queremos fomentar un mundo de creadores, de inventores, de colaboradores, porque este mundo en el que vivimos, este mundo interactivo, es nuestro.","Queremos fomentar un mundo de creadores, de inventores, de colaboradores, porque este mundo en el que vivimos, este mundo interactivo, es nuestro.","Queremos alentar un mundo de creadores, inventores y colaboradores porque este mundo en el que vivimos, este mundo interactivo, es nuestro."
121,"I'm going to actually get to one of my favorites, the Metropolitan Museum of Art in New York.","Voy a llegar a uno de mis favoritos, el Museo Metropolitano de Arte de Nueva York.","Voy a llegar a uno de mis favoritos, el Museo Metropolitano de Arte de Nueva York.","De hecho voy a entrar en uno de mis favoritos, al Metropolitan, el museo de arte de Nueva York."
122,"So the system is evolving to create backups that make it easier to detect those mistakes that humans inevitably make and also fosters in a loving, supportive way places where everybody who is observing in the health care system can actually point out things that could be potential mistakes and is rewarded for doing so, and especially people like me, when we do make mistakes, we're rewarded for coming clean.","Así que el sistema está evolucionando para crear retroalimentación que haga más fácil detectar esos errores que los humanos inevitablemente cometemos, y también fomenta, de una manera amorosa y apoyadora, lugares donde todos los que están observando en el sistema de salud pueden señalar cosas que podrían ser errores potenciales, y se les recompensa por hacerlo, y especialmente a personas como yo, cuando cometemos errores, se nos recompensa por salir limpios.","Así que el sistema se ha evolucionado para crear señales que faciliten la detección de esos errores que los humanos inevitablemente cometemos, y también fomenta, de manera amorosa, lugares donde todo el mundo puede venir a observar el sistema de salud y realmente señalar cosas que podrían ser errores potenciales, y es recompensado por hacerlo uno mismo, y especialmente a personas como yo, cuando cometemos errores, se nos recompensa por estar limpios.","Pero el sistema está evolucionando para crear soportes que permitan detectar de manera simple esos errores que inevitablemente cometemos los humanos. Y además promover el apoyo y el cariño, espacios desde donde lo que observen en el sistema de salud, puedan detectar errores potenciales y ser recompensados por eso; especialmente a personas como yo, para que al cometer errores seamos retribuidos por admitirlos."
123,"After three months in a refugee camp, we landed in Melbourne.","Después de tres meses en un campo de refugiados, llegamos a Melbourne.","Después de tres meses en un campo de refugiados, aterrizamos en Nairobi.","Luego de tres meses en un campo de refugiados, desembarcamos en Melbourne."
124,"So, sir, can you help me? I need help.","Así que, ¿me pueden ayudar? Necesito ayuda.","Entonces, ¿me van a ayudar?","Así, ¿me ayudan? Necesito ayuda."
125,"Let's starting with sensing. Well, the first project I wanted to share with you is actually one of the first projects by our lab.","Bueno, el primer proyecto que quiero compartir con Uds. es uno de los primeros proyectos de nuestro laboratorio.","Empecemos con la percepción. Bueno, el primer proyecto que quiero compartir con Uds. es uno de los primeros proyectos de nuestro laboratorio.",Empecemos con la detección. El primer proyecto que quería compartir con Uds. es en verdad uno de los primeros proyectos de nuestro laboratorio.
126,We select a few fellows every year and we have them work with city governments.,Seleccionamos unos pocos cada año y los hacemos trabajar con los gobiernos de las ciudades.,Seleccionamos unos pocos cada año y los hacemos trabajar con los gobiernos de las ciudades.,Seleccionamos algunos miembros cada año y los pusimos a trabajar con los municipios.
127,And so this approach holds for anything new that we do creatively.,Este enfoque se aplica a todo lo nuevo que creamos.,Y este enfoque se aplica a todo lo nuevo que creamos.,Por eso este enfoque vale para todo lo nuevo que hacemos de forma creativa.
128,"I believe that when you push people away from that, you're pushing them more towards failure.","Creo que cuando alejas a la gente de eso, los alejas más hacia el fracaso.","Creo que cuando alejas a la gente de eso, la alejas más hacia el fracaso.",Creo que cuando uno saca a la gente de eso los está empujando al fracaso.
129,"For a year, we were penniless.",Durante un año no teníamos dinero.,Durante un año no teníamos un centavo.,Por un año no tuvimos un centavo.
130,"So we have the concept that what it means to be a woman is to have a female identity; what it means to be a black person is, allegedly, to have an African anatomy in terms of your history.","Así que tenemos el concepto de que lo que significa ser mujer es tener una identidad femenina, lo que significa ser una persona negra es, supuestamente, tener una anatomía africana en términos de su historia.","Así que tenemos el concepto de que lo que significa ser mujer es tener una identidad femenina. Lo que significa ser una persona negra, supuestamente, es tener una anatomía africana en términos de tu historia.","Tenemos la idea de que ser mujer es tener identidad femenina; supuestamente, ser negro quiere decir tener anatomía africana en términos históricos."
131,So he's getting citizens to check on them.,Así que está haciendo que los ciudadanos los revisen.,Así que se sienta y los revisa.,Por eso le pide a los ciudadanos que las controlen.
132,Thank you.,Gracias.,Gracias. (Aplausos),Gracias.
133,And these are the questions that we have to worry about for the next 50 years.,Y estas son las preguntas que tenemos que preocuparnos en los próximos 50 años.,Y estas son las preguntas que tenemos que hacerse durante los próximos 50 años.,Estas son las preguntas que nos deben preocupar en los próximos 50 años.
134,So Scott was speaking person-to-person.,Scott estaba hablando de persona a persona.,Scott estaba hablando de persona a persona.,Scott estaba hablando en persona.
135,"It senses what I want to do, where I want to go, and then augments my strength and endurance.","Detecta lo que quiero hacer, a dónde quiero ir, y luego aumenta mi fuerza y resistencia.","Siente lo que quiero hacer, dónde quiero ir, y luego aumenta mi fuerza y resistencia.","Percibe lo que quiero hacer, o a dónde quiero ir, y luego aumenta mi fuerza y mi resistencia."
136,"Well it was a Friday, this is true.","Bueno, era viernes, eso es verdad.","Bueno, era un viernes. Es verdad.","Bueno, era viernes, es verdad."
137,Photos where you will need a brief moment to think to figure out the trick.,"Fotografías donde necesitamos un momento para pensar, para descubrir el truco.","Las fotos requieren un breve momento para pensar, para averiguar el truco.",Fotos en las que uno tendrá que pensar un momento para descubrir el truco.
138,"They will even use tools like State Trojan to infect your computer with a Trojan, which enables them to watch all your communication, to listen to your online discussions, to collect your passwords.","Incluso usan herramientas como Stuxnet para infectar tu computadora con un troyano, que les permite ver toda tu comunicación, escuchar tus discusiones en línea, recoger tus contraseñas.","Incluso usan herramientas como Stuxnet para infectar tu computadora con un troyano, lo que les permite ver todas tus comunicaciones, escuchar tus discusiones en línea, recoger tus contraseñas.","Usarán incluso herramientas como el troyano Scuinst para infectar nuestra computadora con un troyano para permitirles ver toda la comunicación, y escuchar las discusiones en línea, para obtener nuestros datos."
139,I was trying to preserve the body.,Trataba de preservar el cuerpo.,Estaba tratando de preservar el cuerpo.,Estaba tratando de preservar el cuerpo.
140,I get to meet all kinds of great people; my dollars usually go to a good cause; I look pretty unique; and it makes shopping like my own personal treasure hunt.,"Conozco todo tipo de personas geniales, mis dólares por lo general van a una buena causa, me veo muy única, y hace que comprar sea como mi propio tesoro personal.","Conozco a todo tipo de personas geniales, mis dólares suelen ir a una buena causa, me veo muy única, y hace que comprar sea mi propio tesoro.",Llego a conocer personas interesantísimas; por lo general mi dinero va a una buena causa; Mi aspecto es único; y comprar se convierte en mi búsqueda personal de tesoros.
141,Eating an entire bowl of Cool Whip. (Laughter) That's very risky.,Comer todo un tazón de helado. (Risas) Eso es muy arriesgado.,Comer todo un tazón de helado. (Risas) (Aplausos) Eso es muy arriesgado.,Comerse un tazón entero de Cool Whip. (Risas) Eso es muy arriesgado.
142,But it is also the aging population that is multiplying in numbers.,Pero también está la población envejeciente que se multiplica en número.,Pero también es el aumento de la población lo que multiplica los números.,También hablamos de la población que envejece que se multiplica rápidamente.
143,"This is Matthew Anderson, Tariq Al-Daour and so on and so on.","Este es Matthew Anderson, Tariq Al-Daher, y así sucesivamente.","Aquí está Mark Ronson, Parikrma Desai, y así sucesivamente.","Estos son Matthew Anderson, Tariq Al-Daour etc., etc., etc."
144,"He talked to the family, and I'm quite sure that he smoothed things over and made sure that I didn't get sued.","Habló con la familia, y estoy bastante seguro de que acaloró las cosas y se aseguró de que yo no me fuera.","""Habló con la familia y les aseguró: """"Estoy seguro de que esto se acabará"""". Y les aseguró: """"Ni siquiera lo he visto.""",Habló con la familia y estoy seguro que suavizó las cosas y se aseguró de que no me demandaran.
145,"They're more likely to make worse choices — worse financial choices, medical choices.","Son más propensos a tomar peores decisiones, peores decisiones financieras, decisiones médicas.","Son más propensos a tomar peores decisiones, decisiones financieras y médicas.",Es más probable que tomen las peores decisiones; en las finanzas y en la salud.
146,So I've got now a new generation of programs that are produced by combinations of the programs that did a little bit better job.,Así que ahora tengo una nueva generación de programas que son producidos por combinaciones de los programas que hicieron un trabajo un poco mejor.,Así que ahora tengo una nueva generación de programas producidos por combinaciones de los programas que hicieron un mejor trabajo.,Así conseguimos una nueva generación de programas producto de las combinaciones de programas que tuvieron un poco más de éxito.
147,"And if there's a bit of wind, if you want to minimize splashing, you can actually lower the roof.","Y si hay un poco de viento, si quieres minimizar el chapoteo, puedes bajar el techo.","Y si quieres minimizar el flash, puedes ir sobre el techo.","Y si hay un poco de viento, si se quieren minimizar las salpicaduras, se baja el techo."
148,"When you turn on the light, actually you see this.","Cuando enciendes la luz, seguramente veas esto.",Necesitamos encender la luz para ver esto.,"Cuando se enciende la luz, se ve esto."
149,"Other than writing a check, what could we do?","Aparte de escribir un cheque, ¿qué podríamos hacer?","Aparte de escribir un cheque, ¿qué podríamos hacer?",Algo que no sea un cheque. ¿Qué podemos hacer?
150,"And as a consequence, we have to struggle with this really difficult question about who's dead, and this leads us to a really difficult situation where we don't have such simple categories as we've had before.","Y como consecuencia, nos quedamos con la dificultad de tener que luchar con esta pregunta realmente difícil: ¿Quién está muerto? Y esto nos lleva a una situación realmente difícil donde no tenemos categorías tan simples como antes.","Y como consecuencia, estamos atrapados en la lucha con esta pregunta realmente difícil sobre quién está muerto, y esto nos lleva a una situación realmente difícil donde no tenemos categorías tan simples como antes.","Y, como consecuencia, debemos enfrentarnos al dilema de determinar realmente la muerte de alguien. Y esto nos coloca en una situación difícil en la que no tenemos las categorías simples del pasado."
151,"Early afternoon, people here and there, making calls and moving.","Temprano por la tarde, la gente aquí y allá haciendo llamadas y moviéndose.","Por la tarde, la gente aquí y allá haciendo llamadas y moviéndose.","Por la tarde temprano hay gente por aquí y allá haciendo llamadas, moviéndose."
152,So get in the game. Save the shoes.,"Así que entren en el juego, salven los zapatos.","Así que entren al juego, salven los zapatos.",Así que entren al juego; salven los zapatos.
153,"We're near the end, we're getting close to the World Series.",Nos estamos acercando a la teoría del mundo.,"Estamos aquí al final, cerca de las teorías del mundo.","Estamos cerca de la final, se aproxima la Serie Mundial."
154,But somehow we can insulate ourselves from this problem.,"Pero de alguna manera, podemos insularnos de este problema.",Pero de alguna manera podemos liberarnos de este problema.,Pero de alguna manera nos aislamos del problema.
155,"We found her one, we got her there, and we took care of her and watched over her family, because it was necessary. It's something we knew how to do.","La encontramos, la llevamos allí, y la cuidamos y cuidamos de su familia, porque era necesario, es algo que sabíamos hacer.","La encontramos, la llevamos allí, y la cuidamos y vigilamos a su familia porque era necesario, era algo que sabíamos hacer.","Le encontramos un lugar, la internamos, y la cuidamos y nos encargamos de su familia, porque era necesario, es algo que sabíamos cómo hacer."
156,Another thing that's actually really important to me is creating content that is Indian and yet very contemporary.,Otra cosa que es muy importante para mí es crear contenido que sea indio y a la vez muy contemporáneo.,Otra cosa que es realmente importante para mí es crear contenido que sea indio y a la vez muy contemporáneo.,Otro aspecto sumamente importante para mí es crear contenido indio y a la vez contemporáneo.
157,"I became enamored of the power of evolution, and I realized something very fundamental: in most of the existence of life in single-celled organisms, each cell simply divides, and all of the genetic energy of that cell is carried on in both daughter cells.","Me enamoré del poder de la evolución y me di cuenta de algo muy fundamental: en la mayor parte de la existencia de la vida en organismos unicelulares, cada célula simplemente se divide, y toda la energía genética de esa célula se transmite en ambas células hijas.","Me convertí en un admirador del poder de la evolución, y me di cuenta de algo muy fundamental: en la mayoría de la existencia de la vida, en organismos unicelulares, cada célula simplemente se divide, y toda la energía genética de esa célula se lleva en ambas células hijas.","Me enamoré del poder de la evolución y me di cuenta de algo fundamental: en la mayoría de la existencia de la vida, en los organismos unicelulares, cada célula sencillamente se divide y toda la energía genética de esa célula se transmite a las dos células hijas."
158,"And in this case, a neighbor saw it.","Y en este caso, un vecino lo vio.","En este caso, un vecino lo vio.","En este caso, lo vio un vecino."
159,Three billion new minds who have never been heard from before are connecting to the global conversation. What will these people want? What will they consume? What will they desire?,Tres mil millones de nuevas mentes que nunca han sido escuchadas antes se están conectando a la conversación global. ¿Qué querrán estas personas? ¿Qué consumirán? ¿Qué desearán?,"Tres mil millones de nuevas mentes, que nunca han sido escuchadas antes, se están conectando a la conversación global. ¿Qué querrán estas personas? ¿Qué consumirán? ¿Qué desearán?",Tres mil millones de mentes nunca antes oídas que se suman a la conversación global. ¿Qué querrán estas personas? ¿Qué consumirán? ¿Qué deseos tendrán?
160,And so I want to talk about the power of identity.,Así que quiero hablar del poder de la identidad.,Quiero hablar de ese poder de la identidad.,Por esto quiero hablar del poder de la identidad.
161,Groups like Anonymous have risen up over the last 12 months and have become a major player in the field of online attacks.,Grupos como Anonymous han crecido en los últimos 12 meses y se han convertido en un actor importante en el campo de los ataques en línea.,Grupos como Anonymous han crecido en los últimos 12 meses y se han convertido en un actor importante en el campo de los ataques cibernéticos.,Grupos como Anonymous han descollado en los últimos 12 meses ocupando un papel destacado en los ataques en línea.
162,MS: And actually we show the whole process of how does it work.,Y en realidad mostramos el proceso completo de cómo funciona.,"Y en realidad, mostramos todo el proceso de cómo funciona.",MS: Y en realidad mostramos el proceso completo de cómo funciona.
163,"If we look at what's really happening in the online world, we can group the attacks based on the attackers.","Si miramos lo que realmente sucede en el mundo virtual, podemos agrupar los ataques en función de los atacantes.",Podemos agrupar los ataques en función del atacante.,Si vemos lo que pasa en el mundo en línea podemos agrupar los ataques según sus atacantes.
164,Thank you.,Gracias.,Gracias.,Gracias.
165,"They had over 75 different kinds of olive oil, including those that were in a locked case that came from thousand-year-old olive trees.","Tenían más de 75 tipos diferentes de aceite de oliva, incluyendo aquellos que estaban en una caja sellada que provenían de árboles de oliva de mil años.","Tenían más de 75 tipos diferentes de aceite de oliva, incluyendo aceite de oliva de una cueva sellada que provenía de árboles de oliva de mil años.","Tenían más de 75 clases diferentes, incluyendo las que estaban en caja sellada que provenían de árboles milenarios."
166,"Not every day is going to offer us a chance to save somebody's life, but every day offers us an opportunity to affect one.","No todos los días vamos a tener la oportunidad de salvar la vida de alguien, pero todos los días tenemos la oportunidad de cambiar la de alguien.","No todos los días vamos a tener la oportunidad de salvar la vida de alguien, pero todos los días nos ofrecen la oportunidad de afectar la vida de alguien.",No todos los días vamos a tener la oportunidad de salvar la vida de alguien pero cada día vamos a poder influir la vida de alguien.
167,Wednesday: Embrace your inner child.,Miércoles: acepta a tu niño interior.,Cuando abracen a su niño interior.,Miércoles: Guíate del niño que llevas dentro.
168,"For those people who actually want to choose, they're given 20 funds, not 300 or more funds.","Para aquellas personas que realmente quieren elegir, se les dan 20 fondos, no 300 fondos.","Pero para quienes realmente quieren elegir, se les dan 25 fondos, no 300.","A quienes verdaderamente desean escoger, se les ofrecen 20 fondos, no 300 o más."
169,"You see, aluminum was the most valuable metal on the planet, worth more than gold and platinum.","El aluminio era el metal más valioso del planeta, valía más que el oro y el platino.","El aluminio era el metal más valioso del planeta, valía más que el oro y el platino.","Ya ven, el aluminio era el metal más valioso del planeta; valía más que el oro y el platino."
